tabla,campo,descripcion_coc,formato_sql,restricciones,tipo_pydantic,verificacion
bitacora,id,ID único del evento (auto-incremental),bigint,NOT NULL,int,✅ Ok
bitacora,session_id,ID de la sesión asociada al evento (FK a sesiones.id),uuid,NOT NULL,UUID,✅ Ok
bitacora,user_id,ID del cliente que participó en la sesión (FK a clientes.id),uuid,NOT NULL,UUID,✅ Ok
bitacora,invocation_id,ID de la invocación del ADK o motor de agentes que generó este evento,text,NULL,Optional[str],✅ Ok
bitacora,event_id,"ID específico del evento dentro de la invocación (turno, interacción, etc.)",text,NULL,Optional[str],✅ Ok
bitacora,created_at,Fecha y hora exacta en que ocurrió el evento,timestamp with time zone,NOT NULL,datetime,✅ Ok
bitacora,actor,"Quién emitió el evento (user, zenda, dt, qa, system, etc.)",USER-DEFINED,NOT NULL,Literal[...],✅ Ok
bitacora,event_type,"Tipo funcional del evento (input, respuesta, alerta, pauta_aplicada, etc.)",USER-DEFINED,NOT NULL,Literal[...],✅ Ok
bitacora,content_text,"Texto visible del evento (lo dicho por el actor, para revisión humana)",text,NULL,Optional[str],✅ Ok
bitacora,content_raw,"Representación estructurada del contenido, para uso por IA o tools",jsonb,NULL,Optional[dict],✅ Ok
bitacora,pautas_codigos,Listado textual de códigos de pautas aplicadas en este evento,text,NULL,Optional[str],✅ Ok
bitacora,status,"Estado del evento (ej. completado, fallido, sin_respuesta, etc.)",USER-DEFINED,NULL,Literal[...],✅ Ok
bitacora,tags,Etiquetas auxiliares para clasificación libre del evento,ARRAY,NULL,Optional[str],✅ Ok
bitacora,metadata,Metadatos técnicos o semánticos adicionales (JSONB) del evento,jsonb,NULL,Optional[dict],✅ Ok
canales,codigo,null,text,NOT NULL,null,❌ Falta
canales,activo,null,boolean,NULL,null,❌ Falta
canales,fecha_alta,null,timestamp without time zone,NULL,null,❌ Falta
canales,descripcion,null,text,NULL,null,❌ Falta
catalogos,id,"ID único del registro en el catálogo (auto-incremental, clave primaria).",bigint,NOT NULL,null,❌ Falta
catalogos,nombre_logico,Nombre abstracto del catálogo (ej: tipo_ctacte),text,NOT NULL,null,❌ Falta
catalogos,valor,Valor específico dentro del catálogo.,text,NOT NULL,null,❌ Falta
catalogos,descripcion,"Descripción del valor del catálogo, legible para humanos.",text,NULL,null,❌ Falta
catalogos,metadata,Información adicional en formato JSONB (opcional).,jsonb,NULL,null,❌ Falta
catalogos,activo,Indica si el valor del catálogo está activo (TRUE) o desactivado (FALSE).,boolean,NOT NULL,null,❌ Falta
catalogos,created_at,Fecha y hora de creación del registro en el catálogo.,timestamp with time zone,NOT NULL,null,❌ Falta
catalogos,tabla_destino,Nombre real de la tabla donde se aplica este catálogo,text,NULL,null,❌ Falta
catalogos,campo_destino,Nombre real del campo al que se aplica el catálogo,text,NULL,null,❌ Falta
catalogos,nombre_catalogo,null,text,NULL,null,❌ Falta
clientes,id_cliente,"Identificador único del cliente (UUID, clave primaria)",uuid,NOT NULL,UUID,✅ Ok
clientes,alias,Apodo visible en sesión. No tiene por qué ser el nombre real,text,NOT NULL,str,✅ Ok
clientes,pais,País de residencia del cliente. Debe estar en catálogo,text,NULL,Optional[str],✅ Ok
clientes,fecha_nacimiento,Fecha de nacimiento. Campo obligatorio para uso en Zenda,date,NULL,date,✅ Ok
clientes,email,Correo electrónico del cliente.,text,NULL,Optional[EmailStr],✅ Ok
clientes,whatsapp,Número de WhatsApp del cliente.,text,NULL,Optional[str],✅ Ok
clientes,mail_trastorno,Email alternativo para derivación o notificaciones especiales (ej.: en contextos de salud mental).,text,NULL,Optional[str],✅ Ok
clientes,canal,"Canal por el cual llegó el cliente (ej.: B2B, Ads_GO, partners).",text,NULL,Optional[str],✅ Ok
clientes,canal_info,Información adicional sobre el canal de adquisición del cliente.,text,NULL,null,❌ Falta
clientes,fecha_alta,Fecha de alta o registro del cliente.,timestamp without time zone,NULL,datetime,✅ Ok
clientes,estado,"Estado del cliente (ej.: activo, inactivo, referente). Validado contra el catálogo estado_cliente.",text,NULL,Optional[str],✅ Ok
clientes,preferencias,"Preferencias del cliente en formato JSONB (ej.: configuraciones, intereses).",json,NULL,Optional[dict],✅ Ok
clientes,codigo_personal,Código interno o personal del cliente.,text,NULL,Optional[str],✅ Ok
clientes,cod_mktg,Código de campaña o acuerdo de marketing (FK a marketing.cod_mktg),text,NULL,Optional[str],✅ Ok
clientes,ash,Identificador seguro y único para el cliente (UUID generado automáticamente).,uuid,NULL,UUID,✅ Ok
clientes,modo_test,"Indica si el cliente está habilitado para modo de prueba (test). Si es TRUE, permite acceso a sus registros en la tabla bitacora mediante la política RLS de acceso de pruebas.",boolean,NULL,bool,✅ Ok
clientes,genero,null,USER-DEFINED,NULL,"Literal['M','F','X']",✅ Ok
ctacte,id,ID único del movimiento en cuenta corriente,bigint,NOT NULL,int,✅ Ok
ctacte,id_cliente,ID del cliente al que pertenece el movimiento (FK a clientes),uuid,NOT NULL,UUID,✅ Ok
ctacte,timestamp,Fecha y hora del movimiento,timestamp with time zone,NULL,datetime,✅ Ok
ctacte,tipo,"Tipo de operación (ej. carga, consumo, ajuste), según catálogo tipo_ctacte",text,NOT NULL,str,✅ Ok
ctacte,moneda,"Moneda de la operación (USD, ARS, ZENDAS), según catálogo moneda",text,NOT NULL,str,✅ Ok
ctacte,monto,Monto del movimiento en la moneda indicada,double precision,NOT NULL,float,✅ Ok
ctacte,tokens,"Equivalente en tokens del movimiento. Aplica a todos los movimientos, independientemente del tipo.",integer,NOT NULL,Optional[int],✅ Ok
ctacte,cpte_nro,Número de comprobante externo o interno (opcional),text,NULL,Optional[str],✅ Ok
ctacte,origen,"Origen del movimiento (ej. sistema, admin, API)",text,NULL,Optional[str],✅ Ok
ctacte,detalle,Observaciones libres sobre el movimiento,text,NULL,Optional[str],✅ Ok
ctacte,saldo_post,Saldo resultante en tokens después de aplicado el movimiento,double precision,NULL,Optional[float],✅ Ok
entidades,id,null,bigint,NOT NULL,int,✅ Ok
entidades,id_cliente,null,uuid,NOT NULL,UUID,✅ Ok
entidades,tipo_entidad,null,text,NOT NULL,str,✅ Ok
entidades,nombre_entidad,null,text,NOT NULL,str,✅ Ok
entidades,datos_entidad,null,jsonb,NULL,Optional[dict],✅ Ok
entidades,tipo_relacion,null,text,NULL,Optional[str],✅ Ok
entidades,estado,null,text,NULL,Optional[str],✅ Ok
entidades,created_at,null,timestamp with time zone,NULL,datetime,✅ Ok
entidades,modified_at,null,timestamp with time zone,NULL,Optional[datetime],✅ Ok
especialidades,id_especialidad,null,integer,NOT NULL,int,✅ Ok
especialidades,cod_esp,null,text,NOT NULL,str,✅ Ok
especialidades,especialidad,null,text,NULL,str,✅ Ok
especialidades,disciplina,null,text,NULL,str,✅ Ok
especialidades,rama,null,text,NULL,str,✅ Ok
especialidades,enfoque,null,text,NULL,str,✅ Ok
especialidades,prioridad,null,integer,NULL,int,✅ Ok
marketing,cod_mktg,Código único de la acción o campaña de marketing (clave primaria).,text,NOT NULL,str,✅ Ok
marketing,canal_tipo,"Tipo general de canal (ej.: B2B, redes, referral). Validado contra el catálogo canal_tipo.",text,NULL,str,✅ Ok
marketing,canal_info,"Detalle específico del canal o campaña (ej.: nombre del socio, campaña concreta).",text,NULL,null,❌ Falta
